,AskP0,AskP1,AskP2,AskP3,AskP4,AskP5,AskP6,AskP7,AskP8,AskP9,AskV0,AskV1,AskV2,AskV3,AskV4,AskV5,AskV6,AskV7,AskV8,AskV9,BidP0,BidP1,BidP2,BidP3,BidP4,BidP5,BidP6,BidP7,BidP8,BidP9,BidV0,BidV1,BidV2,BidV3,BidV4,BidV5,BidV6,BidV7,BidV8,BidV9,Date,High,Low,Price,Time,Turnover,Volume,MatchItem
2018-05-10 09:30:15,705.5,705.89,705.95,705.98,706.0,706.06,706.28,706.43,706.5,706.58,500.0,500.0,100.0,100.0,100.0,1000.0,100.0,200.0,100.0,100.0,705.11,705.1,705.0,704.99,704.98,704.92,704.9,704.8,704.67,704.62,1400.0,300.0,17440.0,200.0,300.0,200.0,100.0,100.0,200.0,100.0,20180510.0,705.88,703.5,705.5,93015000.0,1058281.0,1500.0,166.0
2018-05-10 09:30:18,705.8,705.89,705.95,705.98,706.0,706.06,706.28,706.43,706.5,706.58,100.0,500.0,100.0,100.0,100.0,1000.0,100.0,200.0,100.0,100.0,705.5,705.17,705.11,705.1,705.0,704.99,704.98,704.92,704.9,704.8,500.0,1000.0,1400.0,300.0,16740.0,200.0,300.0,200.0,100.0,100.0,20180510.0,705.88,703.5,705.5,93018000.0,634950.0,900.0,170.0
2018-05-10 09:30:21,705.89,705.95,705.98,706.0,706.06,706.28,706.43,706.5,706.58,706.74,400.0,100.0,100.0,300.0,1000.0,100.0,200.0,100.0,100.0,600.0,705.8,705.51,705.5,705.17,705.11,705.1,705.0,704.99,704.98,704.92,700.0,100.0,900.0,1000.0,1400.0,7900.0,15940.0,200.0,300.0,200.0,20180510.0,705.89,703.5,705.89,93021000.0,1128912.0,1600.0,176.0
2018-05-10 09:30:24,705.98,706.0,706.06,706.28,706.43,706.5,706.58,706.74,706.89,706.9,600.0,300.0,1000.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,705.89,705.88,705.81,705.8,705.51,705.5,705.17,705.11,705.1,705.0,700.0,600.0,900.0,100.0,100.0,1000.0,1000.0,1400.0,7900.0,16940.0,20180510.0,705.95,703.5,705.89,93024000.0,1552940.0,2200.0,186.0
2018-05-10 09:30:27,705.99,706.06,706.28,706.43,706.5,706.58,706.74,706.89,706.9,706.95,100.0,900.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,100.0,705.81,705.8,705.55,705.51,705.5,705.17,705.11,705.1,705.0,704.99,400.0,800.0,100.0,100.0,1400.0,1000.0,1400.0,7900.0,16940.0,300.0,20180510.0,706.06,703.5,705.81,93027000.0,3317806.0,4700.0,203.0
2018-05-10 09:30:30,706.0,706.06,706.28,706.43,706.5,706.58,706.74,706.89,706.9,706.95,100.0,900.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,100.0,705.98,705.81,705.8,705.55,705.51,705.5,705.17,705.11,705.1,705.0,500.0,400.0,800.0,100.0,100.0,900.0,1000.0,1400.0,7900.0,17440.0,20180510.0,706.06,703.5,705.98,93030000.0,141197.0,200.0,205.0
2018-05-10 09:30:33,706.0,706.06,706.28,706.43,706.5,706.58,706.74,706.89,706.9,706.95,700.0,300.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,100.0,705.81,705.8,705.51,705.5,705.17,705.11,705.1,705.0,704.99,704.98,200.0,800.0,100.0,700.0,1000.0,1400.0,7900.0,17440.0,200.0,100.0,20180510.0,706.06,703.5,705.81,93033000.0,1411998.0,2000.0,215.0
2018-05-10 09:30:36,706.06,706.28,706.43,706.5,706.58,706.74,706.89,706.9,706.95,706.97,100.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,100.0,200.0,705.98,705.89,705.81,705.8,705.51,705.5,705.17,705.11,705.1,705.0,500.0,5600.0,700.0,900.0,100.0,700.0,1000.0,1400.0,7900.0,17440.0,20180510.0,706.06,703.5,705.99,93036000.0,1553196.0,2200.0,230.0
2018-05-10 09:30:39,706.28,706.43,706.5,706.58,706.74,706.89,706.9,706.95,706.97,707.0,100.0,200.0,100.0,100.0,600.0,100.0,200.0,100.0,200.0,800.0,706.21,706.06,706.02,705.98,705.9,705.89,705.81,705.8,705.51,705.5,100.0,100.0,500.0,3700.0,200.0,5600.0,700.0,900.0,100.0,700.0,20180510.0,706.13,703.5,706.13,93039000.0,494223.0,700.0,236.0
2018-05-10 09:30:42,706.5,706.58,706.74,706.89,706.9,706.95,706.97,706.99,707.0,707.3,100.0,100.0,600.0,100.0,200.0,100.0,200.0,100.0,800.0,5000.0,706.36,706.33,706.06,706.02,706.0,705.98,705.9,705.89,705.81,705.8,100.0,100.0,200.0,500.0,300.0,3700.0,200.0,5600.0,700.0,3200.0,20180510.0,706.43,703.5,706.43,93042000.0,211914.0,300.0,239.0
2018-05-10 09:30:45,706.06,706.5,706.58,706.74,706.89,706.9,706.95,706.97,706.99,707.0,100.0,100.0,100.0,600.0,100.0,200.0,100.0,200.0,100.0,11400.0,706.0,705.98,705.9,705.89,705.81,705.8,705.51,705.5,705.44,705.17,300.0,5700.0,200.0,5600.0,700.0,3200.0,100.0,700.0,500.0,1000.0,20180510.0,706.43,703.5,706.02,93045000.0,494222.0,700.0,243.0
2018-05-10 09:30:48,706.5,706.58,706.59,706.73,706.74,706.89,706.9,706.95,706.97,706.99,1500.0,100.0,100.0,100.0,600.0,100.0,200.0,100.0,200.0,100.0,705.98,705.95,705.9,705.89,705.81,705.8,705.51,705.5,705.44,705.17,5500.0,100.0,200.0,5600.0,700.0,3100.0,100.0,700.0,500.0,1000.0,20180510.0,706.5,703.5,706.0,93048000.0,988482.0,1400.0,253.0
