,AskOrder,BidOrder,BSFlags,FunctionCode,Date,Price,Time,Volume,Amount
2018-05-04 09:25:00.110,85351,51042,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,26015,51043,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,26016,54402,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,57426,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,61323,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,61992,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,65513,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,77609,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,83243,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,60979,88313,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61865,88851,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,61865,90111,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61865,90685,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,65959,90685,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,65959,51407,S,,20180504,670.98,92500110,300,201294.0
2018-05-04 09:25:00.110,65959,61184,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,65959,65708,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,83333,71515,S,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,26017,71515,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,26018,71515,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,26019,71515,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,26020,71515,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,62288,71515,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,62288,86338,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,62289,86338,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,62289,89952,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,26426,89952,B,,20180504,670.98,92500110,37,24826.260000000002
2018-05-04 09:25:00.110,26427,89952,B,,20180504,670.98,92500110,63,42271.74
2018-05-04 09:25:00.110,26427,90732,B,,20180504,670.98,92500110,37,24826.260000000002
2018-05-04 09:25:00.110,26428,90732,B,,20180504,670.98,92500110,32,21471.36
2018-05-04 09:25:00.110,61141,90732,B,,20180504,670.98,92500110,931,624682.38
2018-05-04 09:25:00.110,61141,93351,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61141,93485,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61141,93841,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61141,26422,S,,20180504,670.98,92500110,260,174454.80000000002
2018-05-04 09:25:00.110,61245,26422,S,,20180504,670.98,92500110,900,603882.0
2018-05-04 09:25:00.110,62554,26422,S,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,65138,26422,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,83467,26422,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,85068,26422,S,,20180504,670.98,92500110,40,26839.2
2018-05-04 09:25:00.110,85068,29848,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,85068,69082,S,,20180504,670.98,92500110,160,107356.8
2018-05-04 09:25:00.110,91251,69082,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,94664,69082,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61226,69082,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,61851,69082,B,,20180504,670.98,92500110,40,26839.2
2018-05-04 09:25:00.110,61851,90807,B,,20180504,670.98,92500110,60,40258.8
2018-05-04 09:25:00.110,63412,90807,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,64243,90807,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,89236,90807,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,82604,90807,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,89221,90807,B,,20180504,670.98,92500110,40,26839.2
2018-05-04 09:25:00.110,89221,91437,B,,20180504,670.98,92500110,600,402588.0
2018-05-04 09:25:00.110,89221,63994,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,89221,54134,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,89221,82654,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,89221,94444,B,,20180504,670.98,92500110,560,375748.8
2018-05-04 09:25:00.110,89852,94444,B,,20180504,670.98,92500110,300,201294.0
2018-05-04 09:25:00.110,89949,94444,B,,20180504,670.98,92500110,1700,1140666.0
2018-05-04 09:25:00.110,85486,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,91333,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,90278,94444,B,,20180504,670.98,92500110,300,201294.0
2018-05-04 09:25:00.110,89155,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,73635,94444,B,,20180504,670.98,92500110,400,268392.0
2018-05-04 09:25:00.110,84884,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,76148,94444,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,92686,94444,B,,20180504,670.98,92500110,500,335490.0
2018-05-04 09:25:00.110,86608,94444,B,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,50429,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,71740,94444,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,77779,94444,B,,20180504,670.98,92500110,340,228133.2
2018-05-04 09:25:00.110,77779,83891,B,,20180504,670.98,92500110,160,107356.8
2018-05-04 09:25:00.110,77902,83891,B,,20180504,670.98,92500110,40,26839.2
2018-05-04 09:25:00.110,77902,90954,B,,20180504,670.98,92500110,60,40258.8
2018-05-04 09:25:00.110,79339,90954,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,82236,90954,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,82841,90954,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,84770,90954,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,86028,90954,B,,20180504,670.98,92500110,40,26839.2
2018-05-04 09:25:00.110,86028,92183,B,,20180504,670.98,92500110,160,107356.8
2018-05-04 09:25:00.110,86080,92183,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,87431,92183,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,88071,92183,B,,20180504,670.98,92500110,154,103330.92
2018-05-04 09:25:00.110,94357,92183,S,,20180504,670.98,92500110,86,57704.28
2018-05-04 09:25:00.110,94357,67880,S,,20180504,670.98,92500110,200,134196.0
2018-05-04 09:25:00.110,94357,42504,S,,20180504,670.98,92500110,77,51665.46
2018-05-04 09:25:00.110,74234,42504,S,,20180504,670.98,92500110,23,15432.54
2018-05-04 09:25:00.110,74234,9295,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,74234,19520,S,,20180504,670.98,92500110,77,51665.46
2018-05-04 09:25:00.110,52538,19520,S,,20180504,670.98,92500110,123,82530.54000000001
2018-05-04 09:25:00.110,52538,35290,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,52538,63581,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,52538,70430,B,,20180504,670.98,92500110,77,51665.46
2018-05-04 09:25:00.110,70913,70430,S,,20180504,670.98,92500110,23,15432.54
2018-05-04 09:25:00.110,70913,90361,B,,20180504,670.98,92500110,77,51665.46
2018-05-04 09:25:00.110,67032,90361,B,,20180504,670.98,92500110,223,149628.54
2018-05-04 09:25:00.110,67032,91458,B,,20180504,670.98,92500110,77,51665.46
2018-05-04 09:25:00.110,92885,91458,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,68309,91458,B,,20180504,670.98,92500110,23,15432.54
2018-05-04 09:25:00.110,68309,94064,B,,20180504,670.98,92500110,177,118763.46
2018-05-04 09:25:00.110,89586,94064,B,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,93282,94064,B,,20180504,670.98,92500110,300,201294.0
2018-05-04 09:25:00.110,94252,94064,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,94569,94064,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,94671,94064,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,94691,94064,S,,20180504,670.98,92500110,100,67098.0
2018-05-04 09:25:00.110,7723,94064,B,,20180504,670.98,92500110,23,15432.54
2018-05-04 09:29:59.250,95032,95107,B,,20180504,670.97,92959250,100,67097.0
2018-05-04 09:29:59.330,7723,95389,B,,20180504,670.98,92959330,100,67098.0
2018-05-04 09:29:59.330,7723,95464,B,,20180504,670.98,92959330,77,51665.46
2018-05-04 09:29:59.360,5537,95653,B,,20180504,671.0,92959360,100,67100.0
2018-05-04 09:29:59.360,94358,95653,B,,20180504,671.22,92959360,155,104039.1
2018-05-04 09:29:59.360,35895,95653,B,,20180504,671.5,92959360,100,67150.0
2018-05-04 09:29:59.360,24798,95653,B,,20180504,671.67,92959360,100,67167.0
2018-05-04 09:29:59.360,90933,95653,B,,20180504,671.88,92959360,100,67188.0
2018-05-04 09:29:59.360,92237,95653,B,,20180504,671.88,92959360,300,201564.0
2018-05-04 09:29:59.360,86549,95653,B,,20180504,671.89,92959360,45,30235.05
2018-05-04 09:29:59.670,99148,96889,S,,20180504,671.0,92959670,100,67100.0
2018-05-04 09:29:59.710,99696,98079,S,,20180504,670.98,92959710,100,67098.0
2018-05-04 09:29:59.750,99699,99915,B,,20180504,671.0,92959750,100,67100.0
2018-05-04 09:29:59.750,95673,99915,B,,20180504,671.1,92959750,100,67110.0
2018-05-04 09:29:59.820,95673,100976,B,,20180504,671.1,92959820,100,67110.0
2018-05-04 09:29:59.950,95673,102520,B,,20180504,671.1,92959950,100,67110.0
2018-05-04 09:30:00.100,95673,104506,B,,20180504,671.1,93000100,500,335550.0
2018-05-04 09:30:00.100,104591,100639,S,,20180504,671.0,93000100,200,134200.0
2018-05-04 09:30:00.310,95673,107225,B,,20180504,671.1,93000310,100,67110.0
2018-05-04 09:30:00.420,108628,100639,S,,20180504,671.0,93000420,100,67100.0
2018-05-04 09:30:00.420,108628,103219,S,,20180504,671.0,93000420,200,134200.0
2018-05-04 09:30:00.460,109201,103219,S,,20180504,671.0,93000460,100,67100.0
2018-05-04 09:30:00.460,109233,103219,S,,20180504,671.0,93000460,100,67100.0
2018-05-04 09:30:00.650,110800,103219,S,,20180504,671.0,93000650,100,67100.0
2018-05-04 09:30:00.650,110959,103219,S,,20180504,671.0,93000650,100,67100.0
2018-05-04 09:30:00.990,95673,113218,B,,20180504,671.1,93000990,100,67110.0
2018-05-04 09:30:01.170,95673,115152,B,,20180504,671.1,93001170,300,201330.0
2018-05-04 09:30:01.270,116857,103219,S,,20180504,671.0,93001270,100,67100.0
2018-05-04 09:30:01.270,95673,117027,B,,20180504,671.1,93001270,100,67110.0
