,Price,AskP0,AskPriceV5,AskV0,BidP0,BidPriceV5,BidV0,isadd3,isadd_ori,MedianBid,CountBid,MedianAsk,CountAsk,HighPrice,LowPrice,AskP0_delta,BidP0_delta,AskPriceV5_delte,BidPriceV5_delte
0,712,712.28,712.3,100,711.9,710.6,100,0,0,711.51,9,710.555,2,712,710.51,-0.28,-0.9,0,-0.09
1,711,712,712.3,100,711,710.51,100,0,2,712.28,1,711.51,3,712.28,711,-0.55,0.01,-0.31,0.5
2,711.53,711.45,711.99,200,711.01,711.01,1000,1,0,711.53,2,711.9,3,711.9,711.53,0,0,-0.09,0
3,711.01,711.45,711.9,200,711.01,711.01,700,2,2,711.01,0,711.01,3,711.01,711.01,0.08,0.49,0,0.01
4,711.02,711.53,711.9,200,711.5,711.02,400,2,2,711.45,2,711.02,1,711.45,711.02,-0.13,-0.49,0,-0.02
5,711.45,711.4,711.9,400,711.01,711,400,2,0,711.53,4,711.5,7,711.9,711.01,0.5,0.06,0,0.02
6,711.07,711.9,711.9,700,711.07,711.02,100,1,2,711.5,5,711.45,3,711.9,711.07,-0.15,-0.02,0,0.03
7,711.45,711.75,711.9,200,711.05,711.05,1500,0,2,711.5,4,711.02,6,711.81,711.02,0.15,0.01,0.09,0.01
8,711.9,711.9,711.99,200,711.06,711.06,800,0,0,711.75,7,711.05,7,711.9,711.05,-0.3,0.47,-0.24,0.47
9,711.5,711.6,711.75,100,711.53,711.53,1300,2,2,711.5,1,711.07,1,711.5,711.07,0.28,0.27,0.24,0
10,711.53,711.88,711.99,200,711.8,711.53,100,2,1,711.6,1,711.07,7,711.6,711.02,-0.35,-0.29,-0.09,-0.08
11,711.53,711.53,711.9,200,711.51,711.45,100,2,0,711.705,2,711.75,5,711.88,711.53,-0.03,-0.46,-0.4,-0.43
12,711.45,711.5,711.5,1100,711.05,711.02,200,1,2,711.9,6,711.715,12,711.99,711.45,0.3,0.7,0.38,0
13,711.75,711.8,711.88,100,711.75,711.02,300,1,1,711.53,5,711.05,5,711.75,711.02,0,0,0,0.73
14,711.75,711.8,711.88,100,711.75,711.75,800,1,1,711.75,0,711.75,2,711.75,711.75,0,0,-0.08,-0.25
15,711.75,711.8,711.8,600,711.75,711.5,100,1,1,711.84,2,711.75,4,711.88,711.75,0,-0.25,0.1,0
16,711.75,711.8,711.9,300,711.5,711.5,700,2,2,711.775,6,711.75,0,711.8,711.75,0.1,0,0,0
17,711.9,711.9,711.9,800,711.5,711.5,700,2,0,711.89,6,711.88,1,711.9,711.8,-0.2,0,-0.2,0
18,711.6,711.7,711.7,500,711.5,711.5,700,2,2,711.9,7,711.6,1,711.9,711.6,-0.2,-0.21,0,-0.48
19,711.7,711.5,711.7,200,711.29,711.02,100,1,2,711.7,3,711.7,0,711.7,711.7,0.4,0.59,0.28,0.86
20,711.83,711.9,711.98,100,711.88,711.88,5400,0,2,711.7,13,711.83,0,711.83,711.5,0.08,0,0.01,0
21,711.98,711.98,711.99,100,711.88,711.88,2700,0,0,711.97,7,711.88,17,711.98,711.88,0.01,0,0,0
22,711.88,711.99,711.99,1700,711.88,711.88,1300,0,0,711.98,1,711.88,8,711.98,711.88,-0.11,-0.38,-0.09,-0.86
23,711.62,711.88,711.9,400,711.5,711.02,100,1,0,711.62,0,711.8,13,711.88,711.62,0,-0.21,0.09,-0.02
24,711.5,711.88,711.99,200,711.29,711,100,0,2,711.88,6,711.715,2,711.93,711.5,0,0,0,0
25,711.88,711.88,711.99,100,711.29,711,100,0,2,711.915,6,711.6,2,711.99,711.5,0.11,0.46,0,0.1
26,711.99,711.99,711.99,1300,711.75,711.1,100,0,0,711.88,7,711.29,1,711.99,711.29,-0.37,-0.25,-0.11,0
27,711.5,711.62,711.88,100,711.5,711.1,200,0,1,711.79,2,711.5,7,711.96,711.5,0,0,-0.02,0
28,711.5,711.62,711.86,100,711.5,711.1,100,0,0,711.62,3,711.5,1,711.7,711.5,0,-0.17,-0.12,-0.2
29,711.33,711.62,711.74,200,711.33,710.9,100,0,1,711.33,0,711.415,2,711.5,711.33,-0.12,-0.15,-0.12,0.1
30,711.33,711.5,711.62,200,711.18,711,300,0,2,711.33,0,711.5,5,711.5,711.33,0.01,0,0,0
31,711.5,711.51,711.62,100,711.18,711,300,0,1,711.5,4,711.5,0,711.5,711.5,-0.01,0,0,0
32,711.5,711.5,711.62,100,711.18,711,300,0,0,711.5,3,711.5,0,711.5,711.33,-0.17,0.01,-0.22,0
33,711.33,711.33,711.4,300,711.19,711,100,0,0,711.415,6,711.19,3,711.6,711.18,0,0.01,0,0.19
34,711.2,711.33,711.4,300,711.2,711.19,300,0,0,711.33,2,711.2,2,711.33,711.2,-0.15,-0.2,-0.21,-0.28
35,711.1,711.18,711.19,300,711,710.91,200,0,2,711.33,1,711.19,7,711.33,711.1,0,0.01,0,0.1
36,711.18,711.18,711.19,300,711.01,711.01,600,0,0,711.18,3,711.18,0,711.18,711.17,-0.18,-0.1,-0.19,-0.1
37,711,711,711,500,710.91,710.91,500,0,1,711,4,711,5,711.01,711,0,-0.01,0.1,-0.01
